Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
9.9	router2	combined	Drop	0	0	0	0
9.9	router3	combined	Drop	0	0	0	0
9.9	router4	combined	Drop	0	0	0	0
10	consumer0	combined	Drop	0	0	0	0
10	consumer1	combined	Drop	0	0	0	0
10	router2	combined	Drop	0	0	0	0
10	router3	combined	Drop	0	0	0	0
10	router4	combined	Drop	0	0	0	0
10.1	consumer0	combined	Drop	0	0	0	0
10.1	consumer1	combined	Drop	0	0	0	0
10.1	router2	combined	Drop	0	0	0	0
10.1	router3	combined	Drop	0	0	0	0
10.1	router4	combined	Drop	0	0	0	0
10.2	consumer0	combined	Drop	0	0	0	0
10.2	consumer1	combined	Drop	0	0	0	0
10.2	router2	combined	Drop	0	0	0	0
10.2	router3	combined	Drop	0	0	0	0
10.2	router4	combined	Drop	0	0	0	0
10.3	consumer0	combined	Drop	0	0	0	0
10.3	consumer1	combined	Drop	0	0	0	0
10.3	router2	combined	Drop	0	0	0	0
10.3	router3	combined	Drop	0	0	0	0
10.3	router4	combined	Drop	0	0	0	0
10.4	consumer0	combined	Drop	0	0	0	0
10.4	consumer1	combined	Drop	0	0	0	0
10.4	router2	combined	Drop	0	0	0	0
10.4	router3	combined	Drop	0	0	0	0
10.4	router4	combined	Drop	0	0	0	0
10.5	consumer0	combined	Drop	0	0	0	0
10.5	consumer1	combined	Drop	0	0	0	0
10.5	router2	combined	Drop	0	0	0	0
10.5	router3	combined	Drop	0	0	0	0
10.5	router4	combined	Drop	0	0	0	0
10.6	consumer0	combined	Drop	0	0	0	0
10.6	consumer1	combined	Drop	0	0	0	0
10.6	router2	combined	Drop	0	0	0	0
10.6	router3	combined	Drop	0	0	0	0
10.6	router4	combined	Drop	0	0	0	0
10.7	consumer0	combined	Drop	0	0	0	0
10.7	consumer1	combined	Drop	0	0	0	0
10.7	router2	combined	Drop	0	0	0	0
10.7	router3	combined	Drop	0	0	0	0
10.7	router4	combined	Drop	0	0	0	0
10.8	consumer0	combined	Drop	0	0	0	0
10.8	consumer1	combined	Drop	0	0	0	0
10.8	router2	combined	Drop	0	0	0	0
10.8	router3	combined	Drop	0	0	0	0
10.8	router4	combined	Drop	0	0	0	0
10.9	consumer0	combined	Drop	0	0	0	0
10.9	consumer1	combined	Drop	0	0	0	0
10.9	router2	combined	Drop	0	0	0	0
10.9	router3	combined	Drop	0	0	0	0
10.9	router4	combined	Drop	0	0	0	0
11	consumer0	combined	Drop	0	0	0	0
11	consumer1	combined	Drop	0	0	0	0
11	router2	combined	Drop	0	0	0	0
11	router3	combined	Drop	0	0	0	0
11	router4	combined	Drop	0	0	0	0
11.1	consumer0	combined	Drop	0	0	0	0
11.1	consumer1	combined	Drop	0	0	0	0
11.1	router2	combined	Drop	0	0	0	0
11.1	router3	combined	Drop	0	0	0	0
11.1	router4	combined	Drop	0	0	0	0
11.2	consumer0	combined	Drop	0	0	0	0
11.2	consumer1	combined	Drop	0	0	0	0
11.2	router2	combined	Drop	0	0	0	0
11.2	router3	combined	Drop	0	0	0	0
11.2	router4	combined	Drop	0	0	0	0
11.3	consumer0	combined	Drop	0	0	0	0
11.3	consumer1	combined	Drop	0	0	0	0
11.3	router2	combined	Drop	0	0	0	0
11.3	router3	combined	Drop	0	0	0	0
11.3	router4	combined	Drop	0	0	0	0
11.4	consumer0	combined	Drop	0	0	0	0
11.4	consumer1	combined	Drop	0	0	0	0
11.4	router2	combined	Drop	0	0	0	0
11.4	router3	combined	Drop	0	0	0	0
11.4	router4	combined	Drop	0	0	0	0
11.5	consumer0	combined	Drop	0	0	0	0
11.5	consumer1	combined	Drop	0	0	0	0
11.5	router2	combined	Drop	0	0	0	0
11.5	router3	combined	Drop	0	0	0	0
11.5	router4	combined	Drop	0	0	0	0
11.6	consumer0	combined	Drop	0	0	0	0
11.6	consumer1	combined	Drop	0	0	0	0
11.6	router2	combined	Drop	0	0	0	0
11.6	router3	combined	Drop	0	0	0	0
11.6	router4	combined	Drop	0	0	0	0
11.7	consumer0	combined	Drop	0	0	0	0
11.7	consumer1	combined	Drop	0	0	0	0
11.7	router2	combined	Drop	0	0	0	0
11.7	router3	combined	Drop	0	0	0	0
11.7	router4	combined	Drop	0	0	0	0
11.8	consumer0	combined	Drop	0	0	0	0
11.8	consumer1	combined	Drop	0	0	0	0
11.8	router2	combined	Drop	0	0	0	0
11.8	router3	combined	Drop	0	0	0	0
11.8	router4	combined	Drop	0	0	0	0
11.9	consumer0	combined	Drop	0	0	0	0
11.9	consumer1	combined	Drop	0	0	0	0
11.9	router2	combined	Drop	0	0	0	0
11.9	router3	combined	Drop	0	0	0	0
11.9	router4	combined	Drop	0	0	0	0
12	consumer0	combined	Drop	0	0	0	0
12	consumer1	combined	Drop	0	0	0	0
12	router2	combined	Drop	0	0	0	0
12	router3	combined	Drop	0	0	0	0
12	router4	combined	Drop	0	0	0	0
12.1	consumer0	combined	Drop	0	0	0	0
12.1	consumer1	combined	Drop	0	0	0	0
12.1	router2	combined	Drop	0	0	0	0
12.1	router3	combined	Drop	0	0	0	0
12.1	router4	combined	Drop	0	0	0	0
12.2	consumer0	combined	Drop	0	0	0	0
12.2	consumer1	combined	Drop	0	0	0	0
12.2	router2	combined	Drop	0	0	0	0
12.2	router3	combined	Drop	0	0	0	0
12.2	router4	combined	Drop	0	0	0	0
